S.NO,      STATE/UT,2015,2016,2017,2018,2019,average for each state,#rape 2015,#rape 2016,#rape 2017,#rape 2018,#rape 2019,#rape_average for each state,#kidnapping and abduction 2015,#kidnapping and abduction 2016,#kidnapping and abduction 2017,#kidnapping and abduction 2018,#kidnapping and abduction 2019,#kidnapping and abduction_average for each state,#dowry_deaths_2015,#dowry_deaths_2016,#dowry_deaths_2017,#dowry_deaths_2018,#dowry_deaths_2019,#dowry_deaths_average for each state,#Assault On Women With Intent To Outrage Her Modesty _2015,#Assault On Women With Intent To Outrage Her Modesty _2016,#Assault On Women With Intent To Outrage Her Modesty _2017,#Assault On Women With Intent To Outrage Her Modesty _2018,#Assault On Women With Intent To Outrage Her Modesty _2019,#Assault On Women With Intent To Outrage Her Modesty _average for each state,#immoral trafficing_2015,#immoral trafficing_2016,#immoral trafficing_2017,#immoral trafficing_2018,#immoral trafficing_2019,#immoral trafficing_average of state,#Abetment of suicide of women_2015,#Abetment of suicide of women_2016,#Abetment of suicide of women_2017,#Abetment of suicide of women_2018,#Abetment of suicide of women_2019,#Abetment of suicide of women_average for each state,#Cruelty By Husband Or His Relatives_2015,#Cruelty By Husband Or His Relatives_2016,#Cruelty By Husband Or His Relatives_2017,#Cruelty By Husband Or His Relatives_2018,#Cruelty By Husband Or His Relatives_2019,#Cruelty By Husband Or His Relatives_average for each state,"#Dowry Prohibition Act, 1961_2015","#Dowry Prohibition Act, 1961_2016","#Dowry Prohibition Act, 1961_2017","#Dowry Prohibition Act, 1961_2018","#Dowry Prohibition Act, 1961_2019","#Dowry Prohibition Act, 1961_average for each state",#sexual  harassment_2015,#sexual  harassment_2016,#sexual  harassment_2017,#sexual  harassment_2018,#sexual  harassment_2019,#sexual  harassment_average for each state,pov rate(people % below the poverty line 2021-2022),literacy(2021) %,Sex Ratio,HDI,unemployment,Police personnel per lakh of population(Actual),NSDP in Rs(2019),MPI
1,Andhra Pradesh,15931,16362,17909,16438,17746,16877.2,1027,994,988,971,1086,1013.2,684,626,712,697,589,661.6,174,193,152,140,112,154.2,4616,4829,5129,4445,4444,4692.6,204,186,121,152,88,150.2,384,405,597,406,407,439.8,6121,6461,7156,6831,7851,6884,303,592,434,320,472,424.2,1070,1305,84,70,172,540.2,12.3,67,1045,0.649,6.4833,113.68,151173,0.053
2,Arunachal Pradesh,384,367,337,368,317,354.6,71,92,59,67,63,70.4,128,85,74,87,68,88.4,0,1,0,0,1,0.4,101,109,97,103,80,98,2,0,2,0,0,0.8,2,4,4,2,3,3,66,50,56,60,54,57.2,0,0,0,0,0,0,15,4,0,2,0,4.2,34.67,65.4,997,0.661,7.6,830.31,139588,0.115
3,Assam,23258,20869,23082,27728,30025,24992.4,1733,1779,1772,1648,1773,1741,5039,5339,5554,6401,6989,5864.4,216,157,171,173,156,174.6,4293,3378,3569,4180,4619,4007.8,47,65,40,37,12,40.2,0,0,44,76,53,34.6,11225,9321,9782,11136,11943,10681.4,95,234,191,1138,1377,607,499,677,69,106,143,298.8,31.98,72.2,1012,0.613,2.5666,207.49,82078,0.156
4,Bihar,13891,13400,14711,16920,18587,15501.8,1041,1008,605,651,730,807,5158,5496,6182,7951,9025,6762.4,1154,987,1081,1107,1120,1089.8,198,324,197,262,312,258.6,21,50,24,49,40,36.8,0,0,0,4,8,2.4,3792,3794,3776,2539,2397,3259.6,1867,1058,1097,2094,3289,1881,78,124,10,126,135,94.6,33.74,61.8,1090,0.574,12.8083,76.2,43822,0.265
5,Chhattisgarh,5720,5947,7996,8587,7689,7187.8,1560,1626,1908,2091,1036,1644.2,1354,1447,1457,1842,2033,1626.6,89,84,74,79,76,80.4,1868,1770,1899,1854,1316,1741.4,4,17,16,15,12,12.8,141,189,151,121,159,152.2,620,622,582,503,732,611.8,10,19,35,18,7,17.8,507,244,24,65,45,177,39.93,70.3,1015,0.611,3.9166,220.53,96887,0.134
6,Goa,365,371,369,362,329,359.2,86,61,76,61,72,71.2,70,69,61,78,52,66,0,2,1,0,1,0.8,150,143,134,125,119,134.2,3,3,1,7,1,3,3,1,4,2,3,2.6,19,23,21,9,9,16.2,0,0,0,0,0,0,58,41,0,0,0,19.8,3.76,88.7,1027,0.763,16.7666,511.78,458304,0.015
7,Gujarat,7762,8532,8133,8329,8799,8311,503,982,477,553,528,608.6,1569,2146,1259,1024,922,1384,12,12,9,9,9,10.2,1164,1224,1058,1208,1048,1140.4,35,76,28,34,24,39.4,232,270,351,386,344,316.6,4133,3732,3223,2923,3619,3526,36,0,0,2,2,8,536,473,23,127,258,283.4,16.63,78,965,0.672,2.05,122.78,197447,0.084
8,Haryana,9446,9839,11370,14326,14683,11932.8,1070,1187,1099,1296,1480,1226.4,2336,2697,2949,3419,2803,2840.8,243,260,245,216,248,242.4,1886,1860,2031,2671,2581,2205.8,44,59,57,43,28,46.2,122,123,192,205,225,173.4,3525,3313,3326,4154,4867,3837,14,8,21,18,24,17,688,699,75,161,179,360.4,12.3,84.1,926,0.708,28.4475,180.19,236147,0.055
9,Himachal Pradesh,1289,1222,1246,1633,1636,1405.2,244,252,249,344,359,289.6,239,201,242,341,337,272,2,3,3,4,4,3.2,434,410,397,513,498,450.4,6,7,8,10,10,8.2,64,66,55,74,61,64,226,214,191,183,228,208.4,0,1,1,1,1,0.8,99,114,0,0,0,42.6,7.62,82.8,1040,0.725,11.8166,240.52,179188,0.03
10,Jammu & Kashmir,3363,2850,3129,3437,3069,3169.6,296,256,296,320,223,278.2,1071,774,931,1061,893,946,6,6,8,8,8,7.2,1343,1235,1417,1597,1440,1406.4,0,1,0,1,0,0.4,50,65,25,33,26,39.8,400,342,377,325,347,358.2,1,0,1,1,0,0.6,244,253,0,1,0,99.6,10.35,67.2,968,0.688,15.6916,610.25,91882,0.055
